PMID,SMILES,Compound_ID,DOI,Year,EC50_EBOV,EC50_SUDV,EC50_MARV,CC50,SI,Mechanism_Declared,Target_Tested_Yes_No,Suggested_Tier,Confidence_Score_Final,Reason_Tier,docking_deltaG_Lpoly,docking_deltaG_VP40,docking_deltaG_VP35
30395567,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30333622,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30333174,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30325435,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30275474,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30257222,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30223867,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30192980,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30165875,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30144461,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30113030,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
30045993,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29924324,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29917112,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29872948,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29872540,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29870771,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29777114,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29772717,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29730487,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29693699,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
35539451,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29685158,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29622497,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29599516,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29589579,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29584730,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29511143,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29510895,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29507309,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29451908,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29447206,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29437970,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29401598,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29358295,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29350545,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29294299,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
32287476,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29283993,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29281627,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29258442,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29171900,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29170019,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
29163915,,,,,,,,,,,,1.0,,Tier 1: enzymatic/direct,,,
