PMID,SMILES,Compound_ID,DOI,Year,EC50_EBOV,EC50_SUDV,EC50_MARV,CC50,SI,Mechanism_Declared,Target_Tested_Yes_No,Suggested_Tier,Confidence_Score_Final,Reason_Tier,docking_deltaG_Lpoly,docking_deltaG_VP40,docking_deltaG_VP35
29554280,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
29495311,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
29428508,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
29369776,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
29294299,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
29289664,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
29258862,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
29126899,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
29059503,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28991917,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28984239,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28878077,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28835547,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28820067,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28685291,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28573622,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28425643,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28385094,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28381571,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28379541,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28368541,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28334511,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28282037,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28250123,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28197304,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
28158275,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27974555,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27902714,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27864075,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27838352,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27801778,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27713552,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27712998,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27704591,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27535047,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27460797,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27396168,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27350309,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27347558,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27297486,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27273104,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
27095300,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
26934220,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
26875984,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
26797799,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
26676781,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
26676770,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
26633464,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
26587786,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
26526586,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
26491156,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
26834994,,,,,,,,,,,,0.7,,Tier 2: phenotypic,,,
